id,parent_id,parent_name,name
168,1,"""Частный корреспондент""",01600 «Аквариум International» оставил БГ без мечты
169,56,Викиновости,Хакеры атаковали сайт ЦРУ США
170,56,Викиновости,Габриэль Гиффордс выписали из больницы
171,56,Викиновости,Интернет для целой страны в чемодане
172,56,Викиновости,Опубликован отчет о расследовании аварии на Большом адронном коллайдере
173,56,Викиновости,В Китае найдены останки малого пернатого динозавра
174,56,Викиновости,Стали известны победители Премии Рунета 2008
175,56,Викиновости,Российская оппозиция объединилась в движение «Солидарность»
176,56,Викиновости,Путин согласился стать премьер-министром при Медведеве
177,1,"""Частный корреспондент""","14316 Алехандро Ходоровский: «Вы представляли себе, как Супермен спаривается?»"
178,8,Википедия,"Вулф, Том"
179,56,Викиновости,Рабочие английского завода по производству ветрогенераторов остановили производство
180,56,Викиновости,Наркоманы будут колоться в ФРГ бесплатно
181,1,"""Частный корреспондент""",06323 Анекдот про шутку юмора
182,56,Викиновости,В Москве совершена попытка покушения на Ису Ямадаева
183,1,"""Частный корреспондент""",15086 Амнистия — это не только гуманность
185,184,Блоги,lazy-frog.livejournal.com
186,184,Блоги,0151835
187,1,"""Частный корреспондент""",12781 Александр Слюсарев: «Я говорю о простых и понятных вещах…»
188,56,Викиновости,Российское государство взялось за цены на лекарства
189,56,Викиновости,73 африканских эмигранта погибли в Средиземном море
190,56,Викиновости,Открыта самая горячая планета
191,56,Викиновости,Турция и Россия договорились об отмене виз
192,56,Викиновости,В Москве появится памятник Габдулле Тукаю
193,56,Викиновости,Отравление воды в реке Славянка
194,56,Викиновости,Россия дала Украине в кредит 2 миллиарда долларов
195,1,"""Частный корреспондент""",17680 Алессандро Калиостро: колдун в чужом отечестве
196,1,"""Частный корреспондент""",05516 Александр Князев: «Виолончель — любовница моя»
197,1,"""Частный корреспондент""","14323 А что у вас, ребята?"
198,1,"""Частный корреспондент""",17419 Аборигенский рок. Часть III. Канада
200,1,"""Частный корреспондент""",15495 7:3 в пользу Канады…
201,1,"""Частный корреспондент""","05611 Аккумулятор, который вырастили вирусы"
202,1,"""Частный корреспондент""",16348 600 секунд власти
203,1,"""Частный корреспондент""","13347 Александр Исаевич, человек-архипелаг"
204,1,"""Частный корреспондент""",09815 Александр Гаврилюк: «Особое свойство слуха. Особое свойство зрения»
205,1,"""Частный корреспондент""",14285 Абсолютный слух
206,1,"""Частный корреспондент""",08074 Академик Виктор Полтерович: «Экономика — очень агрессивная наука!»
207,1,"""Частный корреспондент""",15935 Англичанин в стране чудес
208,1,"""Частный корреспондент""",02419 А нам страшно
209,1,"""Частный корреспондент""",09895 Анапа — курорт принудительного заключения
210,1,"""Частный корреспондент""",16027 Аксолометрические проекции
211,1,"""Частный корреспондент""",18323 Аксёнов и другие
212,1,"""Частный корреспондент""",10157 Александр Невский и Алёша Попович
213,1,"""Частный корреспондент""",02636 Технобрега: музыка в социальной сети
214,1,"""Частный корреспондент""",22437 Вечная женственность
215,56,Викиновости,Требуют раскрыть новые детали Windows
216,1,"""Частный корреспондент""",22711 Алексей Шепелёв: «Нашему поколению не повезло…»
217,1,"""Частный корреспондент""",17154 Аборигенский рок. Часть II. Австралия
218,1,"""Частный корреспондент""",02538 Адвокат не выпустил Буданова из колонии
219,1,"""Частный корреспондент""",16684 Английский DEBill
220,56,Викиновости,Британская энциклопедия защищается
221,1,"""Частный корреспондент""",04700 Антинаука и авторитаризм
222,1,"""Частный корреспондент""",19474 Ну что? Где и когда всё пошло не так? 
223,1,"""Частный корреспондент""",04227 А генерал и ныне там
224,1,"""Частный корреспондент""","11440 Пора, красавица"
225,1,"""Частный корреспондент""",02680 А и Г сидели на трубе
227,226,"""Частный корреспондент"" - новости",06944 У Бена юбилей
228,56,Викиновости,В Ботсване проходят массовые забастовки
229,1,"""Частный корреспондент""",08677 АнтиПоттер
230,226,"""Частный корреспондент"" - новости",22833 Названы победители первого журналистского конкурса «Лучший в профессии»
231,226,"""Частный корреспондент"" - новости",22367 Теперь и Индия
232,226,"""Частный корреспондент"" - новости",20417 В ближайшие дни в Москве будет снег 
233,226,"""Частный корреспондент"" - новости",21414 Глубже некуда
234,226,"""Частный корреспондент"" - новости",11700 Хорошо забытое старое
235,226,"""Частный корреспондент"" - новости",13087 Российский кинопрокат в пролёте
236,226,"""Частный корреспондент"" - новости",20852 Предсказуемые итоги
237,1,"""Частный корреспондент""","00112 Акции подешевели, деньги подорожали"
238,1,"""Частный корреспондент""",03409 «Большой брат» нас не видит
239,1,"""Частный корреспондент""",02545 Чайники против Google
240,226,"""Частный корреспондент"" - новости","11137 Стивен Спилберг удостоен ""Медали Свободы"""
241,226,"""Частный корреспондент"" - новости",13436 Почему мы опаздываем?
242,226,"""Частный корреспондент"" - новости",20237 Бомба в самолёте
243,1,"""Частный корреспондент""",04392 Алхимия цвета
244,226,"""Частный корреспондент"" - новости",12977 Противоположности действительно притягиваются 
245,1,"""Частный корреспондент""",16779 Антиберлускониада
246,56,Викиновости,Скончался известный математик Бенуа Мандельброт
247,226,"""Частный корреспондент"" - новости",12326 Кремль всех опередил
248,1,"""Частный корреспондент""",17808 Антисексус
249,184,Блоги,krylov.livejournal.com
250,226,"""Частный корреспондент"" - новости",15417 Юбилей
251,56,Викиновости,Система СИ претерпит существенные изменения
252,56,Викиновости,Начал работу 112-ый Конгресс США
253,56,Викиновости,В Екатеринбурге открыт памятник Ельцину
254,1,"""Частный корреспондент""",01908 Берлин как Твин Пикс
255,226,"""Частный корреспондент"" - новости",19757 Москвичи собирают подписи против строительства мечети в Текстильщиках
256,226,"""Частный корреспондент"" - новости",22765 С 27 марта 2011 года Россия будет жить только по летнему времени
257,1,"""Частный корреспондент""",04549 Бобры — это мы?
258,56,Викиновости,Славута проехала свой путь
259,226,"""Частный корреспондент"" - новости",10093 Обсудим потенциал развития субкультур 
260,226,"""Частный корреспондент"" - новости",21698 Недоглядел
261,56,Викиновости,Япония протестует против посещения Южных Курил российским министром обороны
262,56,Викиновости,Американское физическое общество будет публиковать научные статьи под свободной лицензией
263,56,Викиновости,Шаттл «Дискавери» вернулся навсегда
264,226,"""Частный корреспондент"" - новости",22595 115 долларов за баррель
265,226,"""Частный корреспондент"" - новости",18935 На столичных перронах запретили проверять билеты
266,56,Викиновости,Авиакатастрофа в Конго
267,226,"""Частный корреспондент"" - новости",08892 Лишь половина курильщиков дымит ради удовольствия
268,1,"""Частный корреспондент""","01287 ""Альтернативная служба"""
269,1,"""Частный корреспондент""","16983 Часы тикают, или Бесславные ублюдки-2"
270,226,"""Частный корреспондент"" - новости",12254 Два в одном
271,56,Викиновости,Скончалась Людмила Гурченко
272,226,"""Частный корреспондент"" - новости",14373 Азия против фастфуда
273,226,"""Частный корреспондент"" - новости",YouTube стал похож на интернет
274,1,"""Частный корреспондент""",17500 Аствацатуров и Авченко. Двойной портрет на фоне литературной премии
275,1,"""Частный корреспондент""",12276 Dostoevsky тм
276,226,"""Частный корреспондент"" - новости",Часы работы столичных сетевых магазинов могут ограничить
277,56,Викиновости,Споры вокруг газопровода
278,56,Викиновости,Председатель Конституционного суда против переезда на берега Невы
279,56,Викиновости,НАСА объявило состав экипажа 14-й экспедиции МКС
280,56,Викиновости,Космический туризм
281,56,Викиновости,Чемпионат мира по хоккею 2006
282,56,Викиновости,США обвиняются в применении пыток
283,56,Викиновости,Возвращение чемпиона?
284,1651,Другое,Ежегодное послание Президента Путина
285,56,Викиновости,Джорджо Наполитано избран новым президентом Италии
286,56,Викиновости,Билайн договорился с Фэйсбуком о бесплатном доступе
287,1,"""Частный корреспондент""",10521 Анатомия интеллектуала
288,56,Викиновости,Рамзан Кадыров повторно вступил в должность главы Чечни
289,1,"""Частный корреспондент""",10448 Больничные университеты
290,56,Викиновости,Япония будет настаивать на возвращении Южных Курил
291,226,"""Частный корреспондент"" - новости",22581 Заместитель госсекретаря США подал в отставку
292,226,"""Частный корреспондент"" - новости",14856 Что почитать? 
293,56,Викиновости,В Бенрат прибывает Алина Бронски
294,56,Викиновости,Английские футболисты выступили против антисемитизма
295,56,Викиновости,Адриано Челентано раскритиковал Берлускони
296,56,Викиновости,Договорными матчами по футболу займётся Интерпол
297,226,"""Частный корреспондент"" - новости",17210 Такой выгодный Facebook
298,226,"""Частный корреспондент"" - новости",16183 Счастье - это когда у соседа корова сдохла
299,226,"""Частный корреспондент"" - новости",24215 СМИ называют возможного преемника Нурсултана Назарбаева
300,226,"""Частный корреспондент"" - новости","""Социальный интернет"" по-московски"
301,226,"""Частный корреспондент"" - новости",16619 Израильскому премьеру привиделся антисемитский заговор
302,226,"""Частный корреспондент"" - новости",21042 Трудности перевода
303,226,"""Частный корреспондент"" - новости",12653 Передумали
304,1,"""Частный корреспондент""",06056 Who the hell is Ben?
305,1,"""Частный корреспондент""",09209 «Да не в толерантности дело... ну просто не смешно»
306,1,"""Частный корреспондент""",13865 Интересное кино
307,226,"""Частный корреспондент"" - новости",09578 Мётлы отдадут русским
308,1,"""Частный корреспондент""",12512 Девственность на продажу
309,226,"""Частный корреспондент"" - новости",21094 Травка только для своих
310,226,"""Частный корреспондент"" - новости",14307 Создатель MySQL против сделки Oracle — Sun
311,226,"""Частный корреспондент"" - новости","13163 Скажи мне, что ты изобрёл, и я скажу, какой ты национальности"
312,226,"""Частный корреспондент"" - новости","09143 ""Нехорошие квартирки"" в Москве исчезнут через 10 лет"
313,226,"""Частный корреспондент"" - новости",07080 Facebook станет платным
314,226,"""Частный корреспондент"" - новости",07981 Маэстро не видит звёзд
315,1,"""Частный корреспондент""",17548 Аллегория удачи
316,1,"""Частный корреспондент""",05193 Аллу не догонят
317,226,"""Частный корреспондент"" - новости",08266 Большой театр превратился в балаган?
318,226,"""Частный корреспондент"" - новости",15568 Импортный табак бьёт по карману
319,226,"""Частный корреспондент"" - новости",21156 Создатель интернета назвал конкретную угрозу для будущего Всемирной сети
320,1,"""Частный корреспондент""","08585 ALT Linux: «Школы стали жертвой формальной рассылки ""для галочки""»"
321,1,"""Частный корреспондент""",07335 Альтернативный Карабах
322,226,"""Частный корреспондент"" - новости",21974 Президент поручил ввести особый режим во всех аэропортах и на вокзалах
323,226,"""Частный корреспондент"" - новости",15326 Всё ТВ в одном флаконе
324,56,Викиновости,Беназир Бхутто освобождена из-под домашнего ареста
325,56,Викиновости,Россия выведет все войска из Грузии до 1 декабря
326,56,Викиновости,Евросоюз и ПАСЕ призывает Грузию отменить чрезвычайное положение
327,56,Викиновости,В бухте Сан-Франциско введено чрезвычайное положение
328,56,Викиновости,Бадри Патаркацишвили решил баллотироваться в президенты Грузии
329,56,Викиновости,Сегодня начинается печать бюллетеней для голосования на парламентских выборах в России
330,56,Викиновости,В порту «Кавказ» затонул сухогруз с серой
331,56,Викиновости,В порту «Кавказ» затонуло третье за день судно
332,56,Викиновости,«Зенит» стал чемпионом России по футболу
333,56,Викиновости,В Грузии назван кандидат в президенты от оппозиции
334,56,Викиновости,В Лондоне произошёл крупный пожар
335,56,Викиновости,С 1 января в России начнётся выдача биометрических загранпаспортов
336,56,Викиновости,Виталий Калоев вернулся в Россию
337,56,Викиновости,Беназир Бхутто вновь взята под домашний арест
338,1,"""Частный корреспондент""",09448 «Август действительно какой-то чёрный в нашей стране месяц»
339,1,"""Частный корреспондент""",08558 Аттестат религиозной зрелости
340,1,"""Частный корреспондент""",15747 Человек и кошка
341,226,"""Частный корреспондент"" - новости",20333 Рубль возвращается к летнему курсу
342,226,"""Частный корреспондент"" - новости",Паранойя Саакашвили относительно угроз со стороны России передалась и Лукашенко?
343,226,"""Частный корреспондент"" - новости",13907 Почти четверть россиян будут отмечать Новый год без ёлки
344,226,"""Частный корреспондент"" - новости",23893 Google хочет привлечь аудиторию социальными играми
345,226,"""Частный корреспондент"" - новости",14227 Кино и книги
346,56,Викиновости,Джон Керри прибыл в Пакистан
347,56,Викиновости,Андрей Санников получил пять лет заключения
348,56,Викиновости,Грузинская оппозиция протестует
349,56,Викиновости,Израиль подчеркивает неделимость Иерусалима
350,56,Викиновости,В ФИФА отстранены от работы два высокопоставленных чиновника
351,56,Викиновости,Кораблекрушение в Средиземном море у берегов Туниса
352,226,"""Частный корреспондент"" - новости",22744 Земля глазами Юрия Гагарина для пользователей YouTube
353,226,"""Частный корреспондент"" - новости",14570 Apple кризис нипочём
354,226,"""Частный корреспондент"" - новости",22804 Фабрика звёзд бобслея
355,226,"""Частный корреспондент"" - новости",22053 Следствие установило личность террориста
356,226,"""Частный корреспондент"" - новости",12341 Hewlett-Packard берёт пример с Google
357,56,Викиновости,Мощная вспышка на Солнце
358,56,Викиновости,В Москве застрелен Юрий Буданов
359,226,"""Частный корреспондент"" - новости",18743 КНДР угрожает США
360,56,Викиновости,Бернанке предостерег об опасности дефолта по внешнему долгу США
361,56,Викиновости,Сербия должна решить вопрос о Косово и Гааге
362,56,Викиновости,Социальные различия между Москвой и провинцией остаются
363,56,Викиновости,Adobe против Microsoft
364,56,Викиновости,Интернет в Германии
365,56,Викиновости,База на Луне
366,56,Викиновости,В Гренландии потеряли атомную бомбу
367,226,"""Частный корреспондент"" - новости",23397 Марин Ле Пен стала кандидатом на пост главы Франции
368,56,Викиновости,В Пушкине взорван памятник Ленину
369,226,"""Частный корреспондент"" - новости",16072 Лекция с фокусами
370,226,"""Частный корреспондент"" - новости",21221 Можно ли запатентовать лицо?
371,226,"""Частный корреспондент"" - новости",24041 «ВКонтакте» снова разрешает регистрироваться без приглашения
372,226,"""Частный корреспондент"" - новости","18885 Молиться, молиться и молиться"
373,226,"""Частный корреспондент"" - новости",12810 Спорьте на работе
374,226,"""Частный корреспондент"" - новости",18043 Так кто кому должен?
375,226,"""Частный корреспондент"" - новости","22782 Виктор Понедельник: «Адвокат ведет себя, словно царь Иоанн Грозный»"
376,1,"""Частный корреспондент""","21285 День, в который всё закончилось"
377,226,"""Частный корреспондент"" - новости",20246 По примеру Березовского
378,226,"""Частный корреспондент"" - новости",Amazon борется с пиратами
379,226,"""Частный корреспондент"" - новости",«Россия» пошла навстречу юзерам
380,1,"""Частный корреспондент""","18839 «Бритиш Петролеум», её величество нефть и Белый дом: кто опаснее?"
381,226,"""Частный корреспондент"" - новости",03431 Ордер на арест президента
382,226,"""Частный корреспондент"" - новости",13871 Музыка как наркотик
383,226,"""Частный корреспондент"" - новости",22395 Россию зовут в европейскую систему роуминга
384,226,"""Частный корреспондент"" - новости",15028 Возвращение блудного партнёра
385,226,"""Частный корреспондент"" - новости",Союзники договариваются о цене на газ
386,226,"""Частный корреспондент"" - новости",22899 Всеволод Чаплин: «Не нужно бояться быть христианами»
387,56,Викиновости,Зал хоккейной славы пополнился ещё пятью именами
388,1,"""Частный корреспондент""",13553 Чёртова кукла
389,56,Викиновости,Судьи чемпионата мира
390,56,Викиновости,Следующий экипаж прибыл на МКС
391,56,Викиновости,Рейтинг-лист ФИДЕ от 1 апреля 2006
392,56,Викиновости,Германия поддерживает разработку альтернативных источников энергии
393,56,Викиновости,Пятый космический турист
394,56,Викиновости,Кампания по выборам президента ФИДЕ
395,56,Викиновости,Ядерный баланс США и России
